idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;33;Шумска шљука;00;2013;501;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;34;Препелица;00;2013;45858;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;35;Грлица;00;2013;13351;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;36;Гугутка – кумрија;00;2013;7646;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;37;Сојка – креја;00;2013;601;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;38;Гачац;00;2013;44;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;39;Јастреб кокошар;00;2013;330;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;40;Сива врана;00;2013;3816;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;41;Сврака;00;2013;4597;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;42;Велики корморан;00;2013;20;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;43;Сива чапља;00;2013;20;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;01;Јелен европски;00;2015;1035;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;02;Јелен лопатар;00;2015;99;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;03;Срна;00;2015;9279;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;04;Муфлон;00;2015;17;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;05;Дивокоза;00;2015;11;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;06;Дивља свиња;00;2015;7775;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;07;Зец;00;2015;29961;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
